# static_avoidance_node debug log started 20260815_163306
1786779190.245 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.42 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779190.745 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.43 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779191.250 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.43 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779191.760 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.42 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779192.293 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.43 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779192.800 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.43 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779193.308 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.43 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779193.814 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.42 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779194.347 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.47 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779194.849 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779195.401 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779195.944 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779196.445 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779196.945 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779197.491 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779197.996 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779198.545 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779199.049 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779199.593 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779200.107 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779200.641 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779201.164 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779201.692 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779202.196 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779202.700 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779203.201 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779203.766 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.4 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779204.296 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
