# static_avoidance_node debug log started 20260822_054223
1787344948.141 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.78 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344948.641 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.77 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344949.240 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344949.741 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.76 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344950.246 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344950.841 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.78 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344951.347 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344951.948 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.75 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344952.541 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.77 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344953.142 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.80 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344953.667 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.78 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344954.243 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.80 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344954.841 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.80 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344955.343 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.78 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=1.0 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344955.941 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
