# static_avoidance_node debug log started 20260816_192026
1786875631.585 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.94 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786875632.128 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.94 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786875632.635 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.94 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786875633.141 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.93 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=1.6 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786875633.679 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.94 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786875634.191 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.94 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786875634.732 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.96 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786875635.233 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.95 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786875635.736 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.94 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786875636.244 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.93 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786875636.788 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.93 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.7 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786875637.331 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.93 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786875637.834 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.95 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786875638.381 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.95 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786875638.935 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.94 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
