# static_avoidance_node debug log started 20260815_161617
1786778180.321 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.10 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786778180.865 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.10 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786778181.366 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.10 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786778181.871 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.10 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786778182.415 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.10 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786778182.917 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.10 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786778183.418 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.10 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786778183.974 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.10 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786778184.514 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.10 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786778185.017 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.10 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786778185.576 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.10 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786778186.116 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.10 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
