# static_avoidance_node debug log started 20260815_213510
1786797316.914 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797317.460 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797318.007 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797318.551 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797319.105 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797319.606 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797320.113 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797320.651 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797321.154 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797321.653 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.20 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797322.157 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.20 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797322.703 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797323.214 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797323.756 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797324.258 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797324.807 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.20 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797325.357 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797325.913 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=9.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
