# static_avoidance_node debug log started 20260816_215025
1786884629.821 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884630.375 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884630.923 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884631.470 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.35 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.7 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884631.974 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.35 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884632.491 [STATIC_AVOID] obs_id=3 obs_dist=5.94m obs_s=22.29 ego_s=16.34 side=- | left_clearance=0.35 right_clearance=0.32 candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=10.7 | reason=track_too_narrow | cache_reason=no_cache
1786884633.033 [STATIC_AVOID] obs_id=3 obs_dist=5.96m obs_s=22.30 ego_s=16.35 side=- | left_clearance=0.34 right_clearance=0.31 candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=12.3 | reason=map_occupied | cache_reason=no_cache
1786884633.533 [STATIC_AVOID] obs_id=3 obs_dist=5.95m obs_s=22.30 ego_s=16.35 side=- | left_clearance=0.36 right_clearance=0.32 candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=6.5 | reason=map_occupied | cache_reason=no_cache
1786884634.038 [STATIC_AVOID] obs_id=3 obs_dist=5.95m obs_s=22.30 ego_s=16.35 side=- | left_clearance=0.36 right_clearance=0.33 candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=16.0 | reason=map_occupied | cache_reason=no_cache
1786884634.572 [STATIC_AVOID] obs_id=3 obs_dist=5.95m obs_s=22.30 ego_s=16.35 side=- | left_clearance=0.37 right_clearance=0.32 candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=3.6 | reason=track_too_narrow | cache_reason=no_cache
1786884635.082 [STATIC_AVOID] obs_id=3 obs_dist=5.95m obs_s=22.30 ego_s=16.35 side=- | left_clearance=0.36 right_clearance=0.31 candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=11.6 | reason=map_occupied | cache_reason=no_cache
1786884635.612 [STATIC_AVOID] obs_id=3 obs_dist=5.95m obs_s=22.30 ego_s=16.35 side=- | left_clearance=0.36 right_clearance=0.31 candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=28.9 | reason=map_occupied | cache_reason=no_cache
1786884636.143 [STATIC_AVOID] obs_id=3 obs_dist=5.95m obs_s=22.30 ego_s=16.35 side=- | left_clearance=0.36 right_clearance=0.32 candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=3.4 | reason=track_too_narrow | cache_reason=no_cache
1786884636.693 [STATIC_AVOID] obs_id=3 obs_dist=5.95m obs_s=22.30 ego_s=16.35 side=- | left_clearance=0.39 right_clearance=0.35 candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=3.3 | reason=track_too_narrow | cache_reason=no_cache
