# static_avoidance_node debug log started 20260816_172743
1786868869.790 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868870.331 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868870.882 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.26 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868871.427 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.26 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868871.930 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.28 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868872.495 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868873.034 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868873.534 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868874.034 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868874.578 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868875.134 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868875.684 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868876.188 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868876.731 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868877.275 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868877.776 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868878.276 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868878.783 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868879.287 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868879.826 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868880.326 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786868880.833 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.27 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
