# static_avoidance_node debug log started 20260817_113448
1786934093.068 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.62 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786934093.621 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.62 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786934094.122 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.61 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=2.0 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786934094.638 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.61 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786934095.176 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.61 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786934095.747 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.61 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786934096.275 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.61 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=2.6 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786934096.817 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.61 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786934097.370 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.61 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786934097.923 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.61 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786934098.466 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.61 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786934098.973 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.61 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
