# recovery_spliner perf log started 20260816_211332
# [PERF] fields: loops=timer ticks in the window, hz=achieved loop rate, loop_ms avg/max=wall time inside loop(), splines=do_spline calls, blended=loops that also splined the OT-blended path, samples=mean spline samples bounds-checked, danger=splines aborted on the bounds check, mrk_hz=achieved RViz marker rate (see marker_rate_hz; the wpnt topics stay at the full loop rate), cpu=this process's own CPU over the window (100% = one core), viz=spline-sample marker publishing
1786882415.745 [PERF] loops=1 hz=0.4 loop_ms avg=83.73 max=83.73 splines=1 blended=0 samples=93.0 danger=0 mrk_hz=0.4 cpu=28.4% viz=off
1786882416.770 [PERF] loops=36 hz=35.1 loop_ms avg=19.82 max=45.67 splines=36 blended=0 samples=91.6 danger=0 mrk_hz=4.9 cpu=43.9% viz=off
1786882417.780 [PERF] loops=33 hz=32.7 loop_ms avg=22.42 max=75.85 splines=33 blended=0 samples=91.8 danger=0 mrk_hz=4.0 cpu=40.6% viz=off
1786882418.784 [PERF] loops=36 hz=35.9 loop_ms avg=20.34 max=64.60 splines=36 blended=0 samples=91.8 danger=0 mrk_hz=5.0 cpu=42.8% viz=off
1786882419.793 [PERF] loops=36 hz=35.7 loop_ms avg=19.71 max=75.66 splines=36 blended=0 samples=91.9 danger=0 mrk_hz=5.0 cpu=42.6% viz=off
1786882420.801 [PERF] loops=35 hz=34.8 loop_ms avg=20.03 max=160.78 splines=35 blended=0 samples=91.2 danger=0 mrk_hz=5.0 cpu=52.7% viz=off
1786882421.800 [PERF] loops=38 hz=37.9 loop_ms avg=16.90 max=50.16 splines=38 blended=0 samples=91.4 danger=0 mrk_hz=4.0 cpu=48.9% viz=off
1786882422.820 [PERF] loops=37 hz=36.3 loop_ms avg=18.13 max=55.52 splines=37 blended=0 samples=91.2 danger=0 mrk_hz=4.9 cpu=44.1% viz=off
1786882423.855 [PERF] loops=37 hz=35.8 loop_ms avg=15.62 max=52.03 splines=37 blended=0 samples=91.4 danger=0 mrk_hz=4.8 cpu=50.3% viz=off
1786882424.868 [PERF] loops=36 hz=35.5 loop_ms avg=17.07 max=59.05 splines=36 blended=0 samples=91.2 danger=0 mrk_hz=4.9 cpu=47.3% viz=off
1786882425.903 [PERF] loops=33 hz=31.9 loop_ms avg=21.14 max=79.73 splines=33 blended=0 samples=90.9 danger=0 mrk_hz=3.9 cpu=42.5% viz=off
1786882426.926 [PERF] loops=32 hz=31.3 loop_ms avg=22.34 max=78.05 splines=32 blended=0 samples=90.8 danger=0 mrk_hz=4.9 cpu=43.0% viz=off
1786882427.950 [PERF] loops=37 hz=36.1 loop_ms avg=19.74 max=57.81 splines=37 blended=0 samples=90.8 danger=0 mrk_hz=4.9 cpu=45.9% viz=off
1786882428.969 [PERF] loops=35 hz=34.4 loop_ms avg=21.83 max=65.17 splines=35 blended=0 samples=90.5 danger=0 mrk_hz=4.9 cpu=42.3% viz=off
