# static_avoidance_node debug log started 20260816_153029
1786861833.849 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861834.350 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861834.905 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.82 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861835.406 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861835.911 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.6 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861836.463 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861837.000 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861837.510 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861838.015 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861838.557 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861839.058 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861839.606 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861840.161 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861840.714 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.82 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861841.269 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.82 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861841.809 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.82 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861842.312 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786861842.850 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.82 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
