# static_avoidance_node debug log started 20260816_154615
1786862781.866 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862782.410 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.14 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862782.956 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.14 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862783.513 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.14 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=2.4 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862784.054 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.14 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862784.558 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.14 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862785.102 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.14 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862785.610 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.14 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862786.169 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.17 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862786.709 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.52 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.5 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862787.210 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.77 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862787.766 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=20.30 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862788.277 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=22.59 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=1.0 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862788.791 [STATIC_AVOID] obs_id=1 obs_dist=4.17m obs_s=29.00 ego_s=24.82 side=RIGHT | left_clearance=-0.13 right_clearance=0.41 candidate_valid=true rung=0 | cache_used=false path_age=0.000 path_points=121 planning_time_ms=62.4
1786862789.386 [STATIC_AVOID] obs_id=1 obs_dist=1.64m obs_s=28.98 ego_s=27.34 side=RIGHT | left_clearance=-0.14 right_clearance=0.42 candidate_valid=false rung=- | cache_used=true path_age=0.165 path_points=90 planning_time_ms=26.2 | reason=obstacle_clearance
1786862789.902 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=28.91 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862790.406 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=28.69 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862790.914 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=28.66 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862791.419 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=28.66 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862791.979 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=28.62 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862792.512 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=28.41 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=2.7 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862793.060 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=27.82 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862793.573 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=27.51 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862794.102 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=27.42 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786862794.615 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=27.44 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
