# static_avoidance_node debug log started 20260815_185750
1786787874.494 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787875.058 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=4.9 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787875.597 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.55 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787876.111 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.55 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=1.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787876.638 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.9 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787877.146 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.55 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=1.9 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787877.647 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787878.199 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787878.740 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.55 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787879.292 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787879.801 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=1.5 | reason=no_static_obstacle_in_range | cache_reason=no_cache
