# static_avoidance_node debug log started 20260822_063124
1787347890.202 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.67 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787347890.793 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.80 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787347891.395 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.76 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=1.8 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787347891.996 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.75 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787347892.591 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.75 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787347893.191 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.76 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787347893.692 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787347894.298 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.75 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787347894.891 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787347895.398 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.75 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787347895.991 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.75 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
