# static_avoidance_node debug log started 20260822_131840
1787372325.334 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.80 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372331.534 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372332.134 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.82 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372332.634 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.83 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372333.136 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.80 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372333.736 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372334.334 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372334.836 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.80 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.5 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372335.439 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372336.034 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372336.634 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372337.238 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372337.836 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372338.435 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372339.034 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.80 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372339.535 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372340.137 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372340.635 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.5 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372341.234 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372341.736 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.80 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372342.334 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372342.836 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372343.435 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372343.937 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=1.0 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372344.534 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372345.036 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.80 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372345.537 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.82 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372346.134 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.80 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372346.734 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372347.236 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=11.80 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372347.834 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.66 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372348.334 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372348.840 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372349.434 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.64 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372349.934 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372350.434 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.64 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372350.935 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.64 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372351.435 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.64 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372352.034 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372352.535 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372353.134 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.62 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372353.634 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372354.234 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.62 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372354.735 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.60 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372355.336 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372355.935 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372356.437 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372357.034 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.64 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372357.535 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.61 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372358.136 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372358.638 [STATIC_AVOID] obs_id=8 obs_dist=6.17m obs_s=37.79 ego_s=31.63 side=- | left_clearance=0.38 right_clearance=0.12 candidate_valid=false rung=- pre_dist=2.02m | cache_used=false path_age=- path_points=0 planning_time_ms=3.8 | reason=map_occupied | cache_reason=no_cache
1787372359.170 [STATIC_AVOID] obs_id=8 obs_dist=6.19m obs_s=37.82 ego_s=31.63 side=- | left_clearance=0.37 right_clearance=0.09 candidate_valid=false rung=- pre_dist=2.05m | cache_used=false path_age=- path_points=0 planning_time_ms=6.2 | reason=map_occupied | cache_reason=no_cache
1787372359.743 [STATIC_AVOID] obs_id=8 obs_dist=6.22m obs_s=37.82 ego_s=31.60 side=- | left_clearance=0.39 right_clearance=0.11 candidate_valid=false rung=- pre_dist=2.05m | cache_used=false path_age=- path_points=0 planning_time_ms=5.0 | reason=track_too_narrow | cache_reason=no_cache
1787372360.339 [STATIC_AVOID] obs_id=7 obs_dist=6.06m obs_s=37.69 ego_s=31.63 side=- | left_clearance=0.39 right_clearance=0.11 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=5.2 | reason=track_too_narrow | cache_reason=no_cache
1787372360.840 [STATIC_AVOID] obs_id=7 obs_dist=6.10m obs_s=37.69 ego_s=31.59 side=- | left_clearance=0.39 right_clearance=0.11 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=3.5 | reason=track_too_narrow | cache_reason=no_cache
1787372361.436 [STATIC_AVOID] obs_id=7 obs_dist=6.09m obs_s=37.68 ego_s=31.59 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=raceline_already_clear | cache_reason=no_cache
1787372362.038 [STATIC_AVOID] obs_id=7 obs_dist=6.06m obs_s=37.69 ego_s=31.63 side=- | left_clearance=-0.12 right_clearance=0.38 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=3.4 | reason=track_too_narrow | cache_reason=no_cache
1787372362.635 [STATIC_AVOID] obs_id=7 obs_dist=6.10m obs_s=37.71 ego_s=31.61 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=raceline_already_clear | cache_reason=no_cache
1787372363.239 [STATIC_AVOID] obs_id=7 obs_dist=6.12m obs_s=37.71 ego_s=31.60 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=raceline_already_clear | cache_reason=no_cache
1787372363.836 [STATIC_AVOID] obs_id=7 obs_dist=6.07m obs_s=37.71 ego_s=31.64 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=raceline_already_clear | cache_reason=no_cache
1787372364.436 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.64 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372364.937 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372365.535 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.64 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372366.134 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372366.734 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.64 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372367.236 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372367.835 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372368.434 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372369.035 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372369.537 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372370.134 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372370.635 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.64 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372371.137 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.64 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372371.742 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.62 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372372.335 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.64 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372372.934 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.63 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372373.434 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.64 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787372373.939 [STATIC_AVOID] obs_id=11 obs_dist=7.63m obs_s=0.45 ego_s=31.64 side=- | left_clearance=0.13 right_clearance=0.19 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=4.0 | reason=map_occupied | cache_reason=no_cache
1787372374.539 [STATIC_AVOID] obs_id=11 obs_dist=7.62m obs_s=0.43 ego_s=31.63 side=- | left_clearance=0.15 right_clearance=0.19 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=4.3 | reason=map_occupied | cache_reason=no_cache
1787372375.051 [STATIC_AVOID] obs_id=11 obs_dist=7.60m obs_s=0.42 ego_s=31.64 side=- | left_clearance=0.13 right_clearance=0.17 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=7.5 | reason=map_occupied | cache_reason=no_cache
1787372375.644 [STATIC_AVOID] obs_id=11 obs_dist=7.60m obs_s=0.42 ego_s=31.64 side=- | left_clearance=0.14 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=9.5 | reason=map_occupied | cache_reason=no_cache
1787372376.248 [STATIC_AVOID] obs_id=11 obs_dist=7.60m obs_s=0.42 ego_s=31.64 side=- | left_clearance=0.15 right_clearance=0.19 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=8.1 | reason=map_occupied | cache_reason=no_cache
1787372376.840 [STATIC_AVOID] obs_id=11 obs_dist=7.59m obs_s=0.42 ego_s=31.64 side=- | left_clearance=0.14 right_clearance=0.17 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=4.2 | reason=track_too_narrow | cache_reason=no_cache
1787372377.441 [STATIC_AVOID] obs_id=11 obs_dist=7.60m obs_s=0.41 ego_s=31.63 side=- | left_clearance=0.16 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=5.8 | reason=map_occupied | cache_reason=no_cache
1787372378.042 [STATIC_AVOID] obs_id=11 obs_dist=7.59m obs_s=0.41 ego_s=31.64 side=- | left_clearance=0.14 right_clearance=0.17 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=6.5 | reason=track_too_narrow | cache_reason=no_cache
