# static_avoidance_node debug log started 20260822_053907
1787344760.781 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.66 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344774.103 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=9.6 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344774.698 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344775.290 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344775.884 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344776.385 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=2.4 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344776.886 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344777.398 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=8.4 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344777.908 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344778.487 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344779.103 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344779.679 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344780.224 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344780.796 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344781.401 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344782.013 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=3.4 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344782.596 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.8 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344783.181 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344783.797 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344784.379 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344784.982 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344785.500 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=5.6 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344786.078 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344786.590 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344787.178 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344787.787 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344788.295 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344788.907 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344789.432 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344789.997 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344790.595 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344791.183 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344791.727 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344792.277 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344792.818 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344793.411 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344793.922 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344794.497 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=1.4 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344795.027 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344795.578 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344796.101 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344796.682 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344797.185 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344797.699 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344798.278 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344798.823 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787344799.399 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=1.65 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
