# static_avoidance_node debug log started 20260822_054404
1787345061.514 [STATIC_AVOID] obs_id=1 obs_dist=6.38m obs_s=38.62 ego_s=32.24 side=- | left_clearance=0.39 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.13m | cache_used=false path_age=- path_points=0 planning_time_ms=12.9 | reason=map_occupied | cache_reason=no_cache
1787345062.133 [STATIC_AVOID] obs_id=1 obs_dist=6.39m obs_s=38.62 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.17 candidate_valid=false rung=- pre_dist=2.13m | cache_used=false path_age=- path_points=0 planning_time_ms=3.8 | reason=map_occupied | cache_reason=no_cache
1787345062.707 [STATIC_AVOID] obs_id=1 obs_dist=6.39m obs_s=38.62 ego_s=32.23 side=- | left_clearance=0.39 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.13m | cache_used=false path_age=- path_points=0 planning_time_ms=9.8 | reason=map_occupied | cache_reason=no_cache
1787345063.303 [STATIC_AVOID] obs_id=1 obs_dist=6.39m obs_s=38.62 ego_s=32.23 side=- | left_clearance=0.39 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.13m | cache_used=false path_age=- path_points=0 planning_time_ms=4.4 | reason=map_occupied | cache_reason=no_cache
1787345063.807 [STATIC_AVOID] obs_id=1 obs_dist=6.39m obs_s=38.62 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.13m | cache_used=false path_age=- path_points=0 planning_time_ms=3.8 | reason=map_occupied | cache_reason=no_cache
1787345064.402 [STATIC_AVOID] obs_id=1 obs_dist=6.39m obs_s=38.62 ego_s=32.23 side=- | left_clearance=0.39 right_clearance=0.19 candidate_valid=false rung=- pre_dist=2.13m | cache_used=false path_age=- path_points=0 planning_time_ms=5.1 | reason=map_occupied | cache_reason=no_cache
1787345064.908 [STATIC_AVOID] obs_id=1 obs_dist=6.40m obs_s=38.63 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.13m | cache_used=false path_age=- path_points=0 planning_time_ms=4.1 | reason=map_occupied | cache_reason=no_cache
1787345065.411 [STATIC_AVOID] obs_id=1 obs_dist=6.40m obs_s=38.63 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=7.5 | reason=map_occupied | cache_reason=no_cache
1787345066.001 [STATIC_AVOID] obs_id=1 obs_dist=6.39m obs_s=38.63 ego_s=32.23 side=- | left_clearance=0.39 right_clearance=0.19 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=3.8 | reason=map_occupied | cache_reason=no_cache
1787345066.509 [STATIC_AVOID] obs_id=1 obs_dist=6.39m obs_s=38.63 ego_s=32.24 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=10.6 | reason=map_occupied | cache_reason=no_cache
1787345067.013 [STATIC_AVOID] obs_id=1 obs_dist=6.39m obs_s=38.63 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=13.3 | reason=map_occupied | cache_reason=no_cache
1787345067.613 [STATIC_AVOID] obs_id=1 obs_dist=6.40m obs_s=38.63 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=11.4 | reason=map_occupied | cache_reason=no_cache
1787345068.202 [STATIC_AVOID] obs_id=1 obs_dist=6.39m obs_s=38.63 ego_s=32.24 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=4.0 | reason=map_occupied | cache_reason=no_cache
1787345068.710 [STATIC_AVOID] obs_id=1 obs_dist=6.39m obs_s=38.63 ego_s=32.24 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=12.9 | reason=map_occupied | cache_reason=no_cache
1787345069.214 [STATIC_AVOID] obs_id=1 obs_dist=6.40m obs_s=38.63 ego_s=32.23 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=14.8 | reason=map_occupied | cache_reason=no_cache
1787345069.801 [STATIC_AVOID] obs_id=1 obs_dist=6.41m obs_s=38.63 ego_s=32.22 side=- | left_clearance=0.38 right_clearance=0.18 candidate_valid=false rung=- pre_dist=2.14m | cache_used=false path_age=- path_points=0 planning_time_ms=3.8 | reason=track_too_narrow | cache_reason=no_cache
