# recovery_spliner perf log started 20260817_111407
# [PERF] fields: loops=timer ticks in the window, hz=achieved loop rate, loop_ms avg/max=wall time inside loop(), splines=do_spline calls, blended=loops that also splined the OT-blended path, samples=mean spline samples bounds-checked, danger=splines aborted on the bounds check, mrk_hz=achieved RViz marker rate (see marker_rate_hz; the wpnt topics stay at the full loop rate), cpu=this process's own CPU over the window (100% = one core), viz=spline-sample marker publishing
1786932884.057 [PERF] loops=36 hz=35.8 loop_ms avg=15.52 max=61.38 splines=36 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=43.8% viz=off
1786932885.066 [PERF] loops=35 hz=34.7 loop_ms avg=17.11 max=52.93 splines=35 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=42.6% viz=off
1786932886.069 [PERF] loops=38 hz=37.9 loop_ms avg=15.70 max=68.25 splines=38 blended=0 samples=102.0 danger=0 mrk_hz=4.0 cpu=46.8% viz=off
1786932887.090 [PERF] loops=32 hz=31.5 loop_ms avg=22.92 max=88.96 splines=32 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=39.4% viz=off
1786932888.085 [PERF] loops=35 hz=35.0 loop_ms avg=17.78 max=86.57 splines=35 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=46.0% viz=off
1786932889.129 [PERF] loops=34 hz=32.9 loop_ms avg=19.05 max=74.98 splines=34 blended=0 samples=102.0 danger=0 mrk_hz=4.8 cpu=44.5% viz=off
1786932890.132 [PERF] loops=33 hz=32.6 loop_ms avg=18.04 max=110.43 splines=33 blended=0 samples=102.0 danger=0 mrk_hz=4.0 cpu=42.5% viz=off
1786932891.136 [PERF] loops=32 hz=31.9 loop_ms avg=19.39 max=89.04 splines=32 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=41.8% viz=off
1786932892.154 [PERF] loops=37 hz=36.4 loop_ms avg=16.02 max=53.22 splines=37 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=48.1% viz=off
1786932893.158 [PERF] loops=34 hz=33.9 loop_ms avg=17.73 max=89.12 splines=34 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=46.8% viz=off
1786932894.167 [PERF] loops=22 hz=21.8 loop_ms avg=36.24 max=292.94 splines=22 blended=0 samples=102.0 danger=0 mrk_hz=4.0 cpu=33.7% viz=off
1786932895.179 [PERF] loops=26 hz=25.7 loop_ms avg=26.71 max=89.39 splines=26 blended=0 samples=102.0 danger=0 mrk_hz=4.9 cpu=35.6% viz=off
1786932896.240 [PERF] loops=38 hz=35.8 loop_ms avg=15.32 max=69.20 splines=38 blended=0 samples=102.0 danger=0 mrk_hz=4.7 cpu=50.0% viz=off
1786932897.246 [PERF] loops=36 hz=35.8 loop_ms avg=16.93 max=77.11 splines=36 blended=0 samples=102.0 danger=0 mrk_hz=5.0 cpu=45.7% viz=off
1786932898.315 [PERF] loops=37 hz=34.6 loop_ms avg=16.89 max=66.11 splines=37 blended=0 samples=102.0 danger=0 mrk_hz=4.7 cpu=44.9% viz=off
1786932899.322 [PERF] loops=36 hz=35.9 loop_ms avg=17.92 max=64.19 splines=36 blended=0 samples=102.0 danger=0 mrk_hz=4.0 cpu=41.9% viz=off
