# static_avoidance_node debug log started 20260815_213911
1786797556.346 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.22 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.6 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797556.849 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.22 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797557.357 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.22 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797557.924 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.22 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797558.443 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.22 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797558.965 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.22 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797559.527 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.23 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797560.056 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.22 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797560.566 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.22 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797561.102 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.22 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786797561.646 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.22 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
