# static_avoidance_node debug log started 20260816_142051
1786857655.491 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.02 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857656.035 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.24 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857656.536 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.64 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857657.083 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=3.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857657.589 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.01 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857658.133 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.10 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857658.640 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.11 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857659.184 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.88 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857659.736 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.36 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857660.288 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.78 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.6 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857660.792 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.47 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857661.338 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.76 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857661.891 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.13 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857662.392 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.01 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857662.896 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.80 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857663.416 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.98 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857663.952 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.84 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857664.475 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.90 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857665.001 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.90 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857665.534 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.90 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.4 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857666.045 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.91 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857666.587 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.90 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857667.090 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.90 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857667.595 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.91 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857668.137 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.90 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857668.642 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.91 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857669.187 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.91 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857669.688 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.90 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857670.192 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.90 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857670.692 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.90 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857671.265 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857671.787 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.02 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857672.291 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857672.838 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.00 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857673.343 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.59 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857673.889 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.77 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857674.409 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.26 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857674.938 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.53 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857675.443 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.94 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857675.990 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.39 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857676.549 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.43 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=9.6 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857677.089 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.67 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857677.590 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.62 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857678.149 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=5.37 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786857678.692 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.13 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
