# static_avoidance_node debug log started 20260816_150454
1786860301.377 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.26 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860301.893 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.56 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860302.450 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.45 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=3.0 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860302.995 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.64 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860303.503 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.68 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860304.053 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860304.578 [STATIC_AVOID] obs_id=2 obs_dist=-0.54m obs_s=12.34 ego_s=12.88 side=- | left_clearance=-0.12 right_clearance=0.28 candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=27.7 | reason=map_occupied | cache_reason=no_cache
1786860305.098 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.78 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860305.638 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860306.152 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.78 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860306.653 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.78 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860307.222 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.78 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860307.747 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860308.252 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860308.818 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860309.345 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860309.894 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=3.9 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860310.442 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.78 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=5.6 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860310.995 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=7.4 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860311.550 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860312.117 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860312.645 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860313.215 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860313.719 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860314.240 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860314.746 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860315.297 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860315.838 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860316.346 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.68 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=2.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860316.891 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.68 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860317.392 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.68 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860317.947 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.68 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860318.486 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.67 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860318.997 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.68 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860319.539 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.68 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.6 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860320.094 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.67 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860320.645 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.66 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860321.205 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.66 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.5 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860321.716 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.66 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860322.249 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.66 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860322.793 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.66 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860323.297 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.66 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860323.843 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.66 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860324.346 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.66 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860324.891 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.66 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860325.444 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=21.60 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860325.954 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=21.59 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860326.491 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=21.58 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860326.992 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=21.58 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=2.4 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860327.545 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=21.58 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=1.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860328.049 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=21.59 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786860328.555 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=21.58 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
