# static_avoidance_node debug log started 20260821_182541
1787304346.996 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.79 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787304347.502 [STATIC_AVOID] obs_id=1 obs_dist=2.83m obs_s=15.63 ego_s=12.79 side=- | left_clearance=0.14 right_clearance=-0.26 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=0.6 | reason=insufficient_braking_distance | cache_reason=no_cache
1787304348.003 [STATIC_AVOID] obs_id=1 obs_dist=2.83m obs_s=15.64 ego_s=12.81 side=- | left_clearance=0.14 right_clearance=-0.27 candidate_valid=false rung=- pre_dist=2.01m | cache_used=false path_age=- path_points=0 planning_time_ms=0.6 | reason=insufficient_braking_distance | cache_reason=no_cache
1787304348.542 [STATIC_AVOID] obs_id=1 obs_dist=2.84m obs_s=15.64 ego_s=12.80 side=- | left_clearance=0.15 right_clearance=-0.25 candidate_valid=false rung=- pre_dist=2.02m | cache_used=false path_age=- path_points=0 planning_time_ms=0.7 | reason=insufficient_braking_distance | cache_reason=no_cache
1787304349.049 [STATIC_AVOID] obs_id=1 obs_dist=2.82m obs_s=15.64 ego_s=12.82 side=- | left_clearance=0.14 right_clearance=-0.27 candidate_valid=false rung=- pre_dist=2.01m | cache_used=false path_age=- path_points=0 planning_time_ms=0.6 | reason=insufficient_braking_distance | cache_reason=no_cache
1787304349.609 [STATIC_AVOID] obs_id=1 obs_dist=2.82m obs_s=15.65 ego_s=12.82 side=- | left_clearance=0.15 right_clearance=-0.26 candidate_valid=false rung=- pre_dist=2.02m | cache_used=false path_age=- path_points=0 planning_time_ms=0.6 | reason=insufficient_braking_distance | cache_reason=no_cache
1787304350.115 [STATIC_AVOID] obs_id=1 obs_dist=2.84m obs_s=15.64 ego_s=12.81 side=- | left_clearance=0.14 right_clearance=-0.27 candidate_valid=false rung=- pre_dist=2.01m | cache_used=false path_age=- path_points=0 planning_time_ms=0.6 | reason=insufficient_braking_distance | cache_reason=no_cache
1787304350.647 [STATIC_AVOID] obs_id=1 obs_dist=2.83m obs_s=15.65 ego_s=12.81 side=- | left_clearance=0.14 right_clearance=-0.27 candidate_valid=false rung=- pre_dist=2.01m | cache_used=false path_age=- path_points=0 planning_time_ms=0.6 | reason=insufficient_braking_distance | cache_reason=no_cache
1787304351.158 [STATIC_AVOID] obs_id=1 obs_dist=2.83m obs_s=15.65 ego_s=12.82 side=- | left_clearance=0.14 right_clearance=-0.27 candidate_valid=false rung=- pre_dist=2.02m | cache_used=false path_age=- path_points=0 planning_time_ms=0.7 | reason=insufficient_braking_distance | cache_reason=no_cache
1787304351.697 [STATIC_AVOID] obs_id=1 obs_dist=2.85m obs_s=15.65 ego_s=12.80 side=- | left_clearance=0.15 right_clearance=-0.27 candidate_valid=false rung=- pre_dist=2.02m | cache_used=false path_age=- path_points=0 planning_time_ms=0.7 | reason=insufficient_braking_distance | cache_reason=no_cache
1787304352.214 [STATIC_AVOID] obs_id=1 obs_dist=2.84m obs_s=15.65 ego_s=12.80 side=- | left_clearance=0.15 right_clearance=-0.27 candidate_valid=false rung=- pre_dist=2.02m | cache_used=false path_age=- path_points=0 planning_time_ms=7.6 | reason=insufficient_braking_distance | cache_reason=no_cache
