# static_avoidance_node debug log started 20260816_215415
1786884860.212 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884860.761 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884861.308 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884861.817 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884862.356 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884862.857 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884863.362 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884863.867 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.88 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884864.419 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884864.957 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884865.459 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884865.970 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884866.471 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884867.013 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884867.556 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884868.059 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.88 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884868.610 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884869.132 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.88 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884869.656 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884870.181 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884870.719 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884871.256 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.88 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884871.762 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884872.306 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884872.811 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884873.358 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786884873.859 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
