# static_avoidance_node debug log started 20260816_173018
1786869022.476 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869022.983 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869023.536 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869024.078 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869024.581 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869025.140 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869025.694 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869026.198 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869026.737 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869027.274 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869027.777 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=2.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869028.331 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869028.880 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869029.384 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869029.924 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869030.424 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869030.942 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869031.485 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869032.024 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869032.525 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869033.026 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869033.542 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869034.087 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869034.628 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869035.182 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786869035.730 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=4.74 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
