# static_avoidance_node debug log started 20260815_163053
1786779056.107 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.33 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779056.653 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.32 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779057.157 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.31 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=5.5 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779057.703 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.31 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779058.247 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.31 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779058.748 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.31 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779059.250 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.31 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.4 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779059.767 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.31 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779060.307 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.32 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779060.807 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.31 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779061.322 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.31 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779061.831 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.31 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779062.346 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.31 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779062.858 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.31 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779063.408 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.31 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=2.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779063.960 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.32 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779064.497 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.31 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786779065.013 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.30 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
