# static_avoidance_node debug log started 20260817_115108
1786935071.920 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935072.433 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935072.968 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935073.478 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935074.019 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935074.568 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935075.113 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935075.626 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.80 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935076.164 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935076.675 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935077.195 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=2.6 | reason=no_static_obstacle_in_range | cache_reason=no_cache
