# static_avoidance_node debug log started 20260817_154534
1786949140.185 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.98 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786949140.732 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.99 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786949141.232 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.00 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786949141.739 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.98 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786949142.301 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.98 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786949142.785 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.99 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786949143.337 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.98 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786949143.891 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.01 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786949144.396 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.02 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786949144.931 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.01 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786949145.432 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.00 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786949145.941 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=8.00 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
