# static_avoidance_node debug log started 20260816_183006
1786872617.378 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.23 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786872617.889 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.24 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786872618.428 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.24 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786872618.978 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.24 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786872619.491 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.24 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786872620.002 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.24 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.5 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786872620.528 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.24 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786872621.078 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.24 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786872621.579 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.24 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786872622.128 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.24 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786872622.628 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.24 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786872623.128 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.24 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786872623.679 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.24 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786872624.230 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.24 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
