# static_avoidance_node debug log started 20260822_065433
1787349277.523 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=32.08 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787349278.122 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=32.08 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787349278.628 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=32.06 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787349279.225 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=32.07 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787349279.830 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=32.07 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787349280.421 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=32.07 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787349280.923 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=32.07 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787349281.522 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=32.06 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787349282.022 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=32.06 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787349282.522 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=32.07 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787349283.122 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=32.06 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- pre_dist=-m | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1787349283.745 [STATIC_AVOID] obs_id=1 obs_dist=7.94m obs_s=0.53 ego_s=32.11 side=- | left_clearance=0.59 right_clearance=-0.13 candidate_valid=false rung=- pre_dist=2.00m | cache_used=false path_age=- path_points=0 planning_time_ms=20.1 | reason=track_too_narrow | cache_reason=no_cache
1787349284.325 [STATIC_AVOID] obs_id=1 obs_dist=7.97m obs_s=0.55 ego_s=32.09 side=- | left_clearance=0.55 right_clearance=-0.13 candidate_valid=false rung=- pre_dist=2.01m | cache_used=false path_age=- path_points=0 planning_time_ms=3.6 | reason=map_occupied | cache_reason=no_cache
1787349284.843 [STATIC_AVOID] obs_id=1 obs_dist=7.97m obs_s=0.55 ego_s=32.10 side=- | left_clearance=0.55 right_clearance=-0.13 candidate_valid=false rung=- pre_dist=2.01m | cache_used=false path_age=- path_points=0 planning_time_ms=4.8 | reason=map_occupied | cache_reason=no_cache
