# static_avoidance_node debug log started 20260817_151036
1786947041.805 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.62 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947042.347 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.62 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947042.868 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.62 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947043.404 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=12.62 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947043.906 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947044.412 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=1.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947044.951 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947045.499 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947046.008 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.19 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947046.554 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=14.54 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947047.098 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=16.04 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947047.609 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=17.41 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947048.151 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=19.05 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947048.699 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=21.08 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947049.221 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=23.47 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947049.750 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=25.98 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947050.254 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=27.89 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947050.813 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=29.95 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.4 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947051.346 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.04 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947051.847 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.04 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947052.347 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.04 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947052.848 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.04 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947053.397 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.04 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.7 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947053.898 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.04 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786947054.414 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=31.04 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
