# static_avoidance_node debug log started 20260815_184358
1786787043.561 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.70 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787044.085 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.70 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787044.592 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.70 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=3.6 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787045.136 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.70 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787045.653 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.70 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787046.200 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.69 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787046.731 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.70 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787047.232 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.70 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787047.738 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.69 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=1.8 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787048.289 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.70 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787048.838 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.70 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787049.383 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.69 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787049.895 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.70 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787050.447 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.70 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787050.960 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.70 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787051.497 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.70 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786787052.043 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=6.70 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
