# static_avoidance_node debug log started 20260817_115200
1786935124.303 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935124.823 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.80 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935125.349 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935125.899 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.7 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935126.404 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935126.948 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935127.449 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935127.950 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935128.499 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935129.000 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.5 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935129.500 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.2 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935130.048 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935130.555 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935131.061 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935131.604 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935132.148 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.1 | reason=no_static_obstacle_in_range | cache_reason=no_cache
1786935132.712 [STATIC_AVOID] obs_id=- obs_dist=-m obs_s=- ego_s=7.81 side=- | left_clearance=- right_clearance=- candidate_valid=false rung=- | cache_used=false path_age=- path_points=0 planning_time_ms=0.3 | reason=no_static_obstacle_in_range | cache_reason=no_cache
